Geo Point;Geo Shape;gml_id;gid;gestionnaire;gonflage;reparation;etat;remarque
48.18152678334775, -1.6407498380429273;"{""coordinates"": [-1.640749838042927, 48.18152678334775], ""type"": ""Point""}";station_reparation_gonflage_velo.1149;1149;Ville de Betton;Oui;Oui;En service;
48.30504360987385, -1.793807825525895;"{""coordinates"": [-1.793807825525895, 48.30504360987385], ""type"": ""Point""}";station_reparation_gonflage_velo.1150;1150;Région Bretagne;Oui;Oui;En service;Installé en mars 2021
48.38394372027351, -1.9800845309505692;"{""coordinates"": [-1.980084530950569, 48.38394372027351], ""type"": ""Point""}";station_reparation_gonflage_velo.1151;1151;Région Bretagne;Oui;Oui;En service;Installé en mars 2021
47.926273836345054, -1.7489683151492137;"{""coordinates"": [-1.748968315149214, 47.926273836345054], ""type"": ""Point""}";station_reparation_gonflage_velo.1152;1152;Région Bretagne;Oui;Oui;En service;Installé en mars 2021
47.67903053282296, -1.9768359315837265;"{""coordinates"": [-1.976835931583727, 47.67903053282296], ""type"": ""Point""}";station_reparation_gonflage_velo.1153;1153;Région Bretagne;Oui;Oui;En service;Installé en mars 2021
47.71385863722148, -2.126150688978495;"{""coordinates"": [-2.126150688978495, 47.71385863722148], ""type"": ""Point""}";station_reparation_gonflage_velo.1154;1154;Région Bretagne;Oui;Oui;En service;Installé en mars 2021
47.95019954032691, -2.544792380333267;"{""coordinates"": [-2.544792380333267, 47.95019954032691], ""type"": ""Point""}";station_reparation_gonflage_velo.1155;1155;Région Bretagne;Oui;Oui;En service;Installé en mars 2021
48.073735021445735, -2.7564301283064663;"{""coordinates"": [-2.756430128306466, 48.073735021445735], ""type"": ""Point""}";station_reparation_gonflage_velo.1156;1156;Région Bretagne;Oui;Oui;En service;Installé en mars 2021
47.980370776148376, -3.0417593474285614;"{""coordinates"": [-3.041759347428561, 47.980370776148376], ""type"": ""Point""}";station_reparation_gonflage_velo.1158;1158;Région Bretagne;Oui;Oui;En service;Installé en mars 2021
48.215013219378186, -4.073733870611223;"{""coordinates"": [-4.073733870611223, 48.215013219378186], ""type"": ""Point""}";station_reparation_gonflage_velo.1162;1162;;;;;
48.16577777127287, -2.996348275676805;"{""coordinates"": [-2.996348275676805, 48.16577777127287], ""type"": ""Point""}";station_reparation_gonflage_velo.1157;1157;Région Bretagne;Oui;Oui;En service;Installé en mars 2021
47.82749927065323, -3.244699434222113;"{""coordinates"": [-3.244699434222113, 47.82749927065323], ""type"": ""Point""}";station_reparation_gonflage_velo.1159;1159;Région Bretagne;Oui;Oui;En service;Installé en mars 2021
48.12134083309932, -1.6813602055439514;"{""coordinates"": [-1.681360205543951, 48.12134083309932], ""type"": ""Point""}";station_reparation_gonflage_velo.1160;1160;Ville de Rennes;Oui;Oui;En service;
48.1838626822231, -3.807524882676301;"{""coordinates"": [-3.807524882676301, 48.1838626822231], ""type"": ""Point""}";station_reparation_gonflage_velo.1161;1161;;;;;
